quote_id,quote_date,customer_name,alloy_name,product_form,thickness_mm,width_mm,qty_kg,lead_time_days,cert_required,price_total_usd,status
Q-100042,2024-04-04,Customer-151,304,sheet,0.1948,872.49,95.22,21,ASTM_A240,1030.21,won
Q-100043,2024-04-05,Customer-162,316L,foil,0.2286,349.88,219.87,21,RoHS,2738.25,won
Q-100044,2024-04-06,Customer-221,316L,foil,0.2512,672.26,205.09,21,ASTM_A240,2997.78,lost
Q-100045,2024-04-07,Customer-72,316L,strip,0.1287,245.28,194.32,10,ASTM_A240,1641.53,pending
Q-100046,2024-04-08,Customer-186,304,sheet,0.0131,1124.66,251.75,14,ASTM_A240,3562.12,pending
Q-100047,2024-04-09,Customer-201,17-7PH,sheet,0.4084,319.91,111.2,14,AMS5528,1519.0,lost
Q-100048,2024-04-10,Customer-25,304,sheet,0.3599,848.93,373.71,35,ASTM_A240,3085.89,pending
Q-100049,2024-04-11,Customer-106,304,strip,0.1234,741.59,87.28,28,EN_10204_3.1,895.12,lost
Q-100050,2024-04-12,Customer-16,17-7PH,strip,0.2011,786.96,524.48,28,AMS5528,7209.31,lost
Q-100051,2024-04-13,Customer-64,17-7PH,sheet,0.1386,537.4,230.68,21,AMS5528,2267.55,won
Q-100052,2024-04-14,Customer-36,316L,strip,0.2536,717.18,75.71,10,EN_10204_3.1,442.7,lost
Q-100053,2024-04-15,Customer-64,316L,sheet,0.3633,169.93,166.81,10,EN_10204_3.1,2201.72,won
Q-100054,2024-04-16,Customer-167,304,sheet,0.1773,249.37,457.71,21,ASTM_A240,5230.77,pending
Q-100055,2024-04-17,Customer-43,316L,foil,0.228,958.32,65.69,21,ASTM_A240,629.45,lost
Q-100056,2024-04-18,Customer-222,304,strip,0.4492,224.49,139.34,10,ASTM_A240,1339.59,lost
Q-100057,2024-04-19,Customer-1,316L,foil,0.1693,235.78,182.8,35,EN_10204_3.1,1481.29,lost
Q-100058,2024-04-20,Customer-109,304,strip,0.3549,515.13,791.0,28,EN_10204_3.1,8514.4,pending
Q-100059,2024-04-21,Customer-49,17-7PH,sheet,0.1605,131.11,147.23,28,AMS5528,1049.84,lost
Q-100060,2024-04-22,Customer-189,316L,foil,0.3645,568.32,159.25,35,RoHS,1466.03,pending
Q-100061,2024-04-23,Customer-15,316L,strip,0.3985,73.46,558.83,14,EN_10204_3.1,6326.2,won
Q-100062,2024-04-24,Customer-15,17-7PH,sheet,0.2015,797.26,444.92,28,AMS5528,4995.32,pending
Q-100063,2024-04-25,Customer-153,316L,foil,0.3389,965.12,272.17,28,ASTM_A240,2479.5,won
Q-100064,2024-04-26,Customer-31,17-7PH,strip,0.5167,663.83,153.07,35,EN_10204_3.1,1732.98,pending
Q-100065,2024-04-27,Customer-11,316L,strip,0.3591,263.89,299.12,35,RoHS,1838.13,pending
Q-100066,2024-04-28,Customer-150,316L,sheet,0.1066,104.0,262.07,35,RoHS,3500.5,pending
Q-100067,2024-04-29,Customer-53,17-7PH,sheet,0.1467,842.15,152.42,35,EN_10204_3.1,2166.05,pending
Q-100068,2024-04-30,Customer-68,17-7PH,sheet,0.1241,1161.75,209.76,28,AMS5528,1499.81,lost
Q-100069,2024-05-01,Customer-77,316L,strip,0.2916,1188.8,346.67,28,RoHS,3106.09,lost
Q-100070,2024-05-02,Customer-118,304,sheet,0.3743,1118.29,148.19,35,ASTM_A240,1143.85,pending
Q-100071,2024-05-03,Customer-138,17-7PH,strip,0.3287,301.12,439.93,10,AMS5528,4605.77,won
Q-100072,2024-05-04,Customer-239,17-7PH,sheet,0.1885,371.21,50.71,21,AMS5528,462.42,lost
Q-100073,2024-05-05,Customer-73,316L,foil,0.108,1141.07,188.18,28,EN_10204_3.1,2038.5,won
Q-100074,2024-05-06,Customer-171,304,strip,0.5139,365.99,135.51,10,ASTM_A240,1443.14,pending
Q-100075,2024-05-07,Customer-68,304,sheet,0.2374,1118.5,180.27,14,ASTM_A240,1087.97,won
Q-100076,2024-05-08,Customer-40,316L,strip,0.4656,1067.49,63.18,21,RoHS,762.22,lost
Q-100077,2024-05-09,Customer-53,304,sheet,0.2124,1009.41,233.7,35,EN_10204_3.1,1769.11,pending
Q-100078,2024-05-10,Customer-65,17-7PH,sheet,0.1649,192.99,376.8,35,EN_10204_3.1,2369.71,won
Q-100079,2024-05-11,Customer-213,316L,strip,0.1284,1137.75,442.58,10,EN_10204_3.1,4870.36,lost
Q-100080,2024-05-12,Customer-198,316L,foil,0.0568,588.37,490.73,28,EN_10204_3.1,5247.5,won
Q-100081,2024-05-13,Customer-190,17-7PH,sheet,0.176,151.21,370.4,21,AMS5528,2911.1,lost
Q-100082,2024-05-14,Customer-29,17-7PH,sheet,0.01,894.35,526.5,35,AMS5528,6924.48,won
Q-100083,2024-05-15,Customer-214,17-7PH,strip,0.37,300.26,366.54,10,AMS5528,3293.82,lost
Q-100084,2024-05-16,Customer-33,17-7PH,strip,0.1398,283.84,334.99,14,EN_10204_3.1,1880.28,won
Q-100085,2024-05-17,Customer-231,304,strip,0.3475,1191.7,230.86,35,ASTM_A240,1812.86,lost
Q-100086,2024-05-18,Customer-171,316L,strip,0.2326,216.13,166.81,10,ASTM_A240,1996.78,won
Q-100087,2024-05-19,Customer-237,304,strip,0.0849,709.49,805.86,10,ASTM_A240,11291.6,won
Q-100088,2024-05-20,Customer-7,316L,foil,0.1648,416.08,130.93,14,EN_10204_3.1,949.18,won
Q-100089,2024-05-21,Customer-206,17-7PH,sheet,0.1211,708.71,61.91,28,EN_10204_3.1,547.97,pending
Q-100090,2024-05-22,Customer-41,17-7PH,strip,0.01,58.13,182.36,10,EN_10204_3.1,1527.91,pending
Q-100091,2024-05-23,Customer-220,316L,sheet,0.3456,211.89,311.94,21,ASTM_A240,4101.88,lost
Q-100092,2024-05-24,Customer-90,316L,foil,0.4747,1120.62,100.27,14,EN_10204_3.1,1065.84,lost
Q-100093,2024-05-25,Customer-169,316L,foil,0.0245,937.57,183.86,14,ASTM_A240,2699.32,won
Q-100094,2024-05-26,Customer-222,304,strip,0.0354,469.45,264.35,21,EN_10204_3.1,3524.28,won
Q-100095,2024-05-27,Customer-174,304,strip,0.3857,509.49,206.7,10,EN_10204_3.1,1163.14,pending
Q-100096,2024-05-28,Customer-225,304,sheet,0.1273,650.53,252.45,35,ASTM_A240,3728.35,lost
Q-100097,2024-05-29,Customer-10,316L,strip,0.2469,1134.82,549.9,14,EN_10204_3.1,4956.82,won
Q-100098,2024-05-30,Customer-187,17-7PH,sheet,0.1026,316.7,142.06,35,EN_10204_3.1,1582.15,lost
Q-100099,2024-05-31,Customer-231,304,sheet,0.0313,749.39,339.33,28,EN_10204_3.1,2714.17,pending
Q-100100,2024-06-01,Customer-182,316L,sheet,0.1361,581.93,221.19,21,ASTM_A240,2286.55,lost
Q-100101,2024-06-02,Customer-176,316L,strip,0.373,681.91,245.18,21,RoHS,2268.48,pending
Q-100102,2024-06-03,Customer-111,17-7PH,strip,0.4053,850.81,326.11,21,EN_10204_3.1,4532.66,won
Q-100103,2024-06-04,Customer-170,17-7PH,sheet,0.2074,737.54,250.1,14,EN_10204_3.1,2287.9,won
Q-100104,2024-06-05,Customer-171,17-7PH,sheet,0.1794,430.94,376.77,10,EN_10204_3.1,4818.14,lost
Q-100105,2024-06-06,Customer-142,304,strip,0.01,1037.59,588.26,35,EN_10204_3.1,7592.78,won
Q-100106,2024-06-07,Customer-98,316L,sheet,0.1784,927.32,458.19,28,RoHS,4476.54,pending
Q-100107,2024-06-08,Customer-104,17-7PH,strip,0.2605,407.93,220.58,21,EN_10204_3.1,2402.33,pending
Q-100108,2024-06-09,Customer-54,316L,sheet,0.01,562.94,296.21,21,EN_10204_3.1,2011.57,lost
Q-100109,2024-06-10,Customer-114,17-7PH,sheet,0.2732,427.89,114.35,21,EN_10204_3.1,1558.7,lost
Q-100110,2024-06-11,Customer-204,17-7PH,strip,0.2023,730.28,293.15,21,EN_10204_3.1,1723.72,pending
Q-100111,2024-06-12,Customer-73,316L,strip,0.0811,228.87,161.07,35,ASTM_A240,1707.84,pending
Q-100112,2024-06-13,Customer-210,17-7PH,sheet,0.2769,1075.18,61.1,10,AMS5528,622.09,won
Q-100113,2024-06-14,Customer-207,17-7PH,sheet,0.2063,963.3,208.27,10,AMS5528,2477.65,won
Q-100114,2024-06-15,Customer-63,316L,foil,0.2062,465.2,106.1,10,ASTM_A240,856.74,lost
Q-100115,2024-06-16,Customer-107,17-7PH,strip,0.3136,237.73,320.06,14,EN_10204_3.1,4022.35,pending
Q-100116,2024-06-17,Customer-127,17-7PH,strip,0.2379,93.56,644.48,21,EN_10204_3.1,5057.63,lost
Q-100117,2024-06-18,Customer-177,316L,foil,0.2467,623.78,312.92,28,RoHS,2032.92,won
Q-100118,2024-06-19,Customer-46,316L,sheet,0.01,306.12,552.4,10,ASTM_A240,6826.49,pending
Q-100119,2024-06-20,Customer-143,17-7PH,sheet,0.01,1012.04,258.77,14,AMS5528,2711.59,won
Q-100120,2024-06-21,Customer-206,316L,sheet,0.021,579.28,145.25,14,ASTM_A240,1864.93,lost
Q-100121,2024-06-22,Customer-157,17-7PH,sheet,0.1995,653.79,131.05,14,EN_10204_3.1,1400.58,pending
Q-100122,2024-06-23,Customer-230,17-7PH,sheet,0.4979,466.95,537.89,35,EN_10204_3.1,4774.7,won
Q-100123,2024-06-24,Customer-67,17-7PH,sheet,0.4864,440.19,385.95,35,EN_10204_3.1,3308.45,won
Q-100124,2024-06-25,Customer-161,17-7PH,sheet,0.0112,595.62,152.89,21,EN_10204_3.1,965.89,won
Q-100125,2024-06-26,Customer-183,304,strip,0.2218,26.25,357.27,10,ASTM_A240,3595.55,lost
Q-100126,2024-06-27,Customer-82,316L,sheet,0.285,867.78,361.23,21,EN_10204_3.1,3907.05,pending
Q-100127,2024-06-28,Customer-60,316L,foil,0.0857,240.71,387.54,28,ASTM_A240,3664.75,lost
Q-100128,2024-06-29,Customer-17,17-7PH,strip,0.2072,155.51,83.39,14,AMS5528,1054.02,lost
Q-100129,2024-06-30,Customer-107,304,strip,0.0686,1119.78,223.13,35,EN_10204_3.1,2332.43,won
Q-100130,2024-07-01,Customer-232,316L,sheet,0.1389,178.61,202.53,14,EN_10204_3.1,2978.48,pending
Q-100131,2024-07-02,Customer-123,17-7PH,strip,0.1135,320.48,404.95,35,EN_10204_3.1,2237.46,won
Q-100132,2024-07-03,Customer-219,304,strip,0.0464,735.2,212.09,21,EN_10204_3.1,1854.59,lost
Q-100133,2024-07-04,Customer-57,17-7PH,strip,0.2134,233.86,245.14,21,EN_10204_3.1,3460.42,lost
Q-100134,2024-07-05,Customer-100,304,strip,0.2746,905.59,313.43,28,ASTM_A240,2200.92,lost
Q-100135,2024-07-06,Customer-216,17-7PH,sheet,0.1369,804.93,280.53,14,AMS5528,3911.44,lost
Q-100136,2024-07-07,Customer-7,316L,strip,0.01,825.92,362.18,21,RoHS,4094.16,lost
Q-100137,2024-07-08,Customer-165,17-7PH,strip,0.4266,701.43,54.83,10,AMS5528,760.24,lost
Q-100138,2024-07-09,Customer-13,316L,sheet,0.01,1089.64,364.18,21,ASTM_A240,3841.53,lost
Q-100139,2024-07-10,Customer-117,304,strip,0.0853,882.05,72.21,14,ASTM_A240,490.69,lost
Q-100140,2024-07-11,Customer-193,304,strip,0.3871,649.48,300.55,21,EN_10204_3.1,3857.29,lost
Q-100141,2024-07-12,Customer-5,304,sheet,0.0725,313.22,168.07,10,EN_10204_3.1,976.8,pending
Q-100142,2024-07-13,Customer-58,17-7PH,strip,0.2603,1054.58,547.77,10,EN_10204_3.1,3537.04,pending
Q-100143,2024-07-14,Customer-194,316L,strip,0.3014,559.26,57.58,28,ASTM_A240,529.4,won
Q-100144,2024-07-15,Customer-160,316L,foil,0.2566,290.52,169.6,28,ASTM_A240,2150.23,won
Q-100145,2024-07-16,Customer-172,316L,foil,0.1797,687.3,225.06,14,EN_10204_3.1,1764.85,won
Q-100146,2024-07-17,Customer-180,17-7PH,strip,0.1231,1091.97,117.33,14,EN_10204_3.1,1678.92,lost
Q-100147,2024-07-18,Customer-200,304,sheet,0.0312,616.95,261.9,10,ASTM_A240,2064.06,won
Q-100148,2024-07-19,Customer-238,304,sheet,0.4347,140.61,325.71,28,ASTM_A240,4184.67,lost
Q-100149,2024-07-20,Customer-184,17-7PH,sheet,0.3953,101.33,154.22,21,EN_10204_3.1,1904.51,won
Q-100150,2024-07-21,Customer-213,316L,strip,0.1811,1182.11,122.27,28,RoHS,814.24,pending
Q-100151,2024-07-22,Customer-198,316L,foil,0.2786,490.82,1015.58,10,RoHS,12615.04,lost
Q-100152,2024-07-23,Customer-89,17-7PH,strip,0.1054,732.39,320.45,21,AMS5528,2949.1,pending
Q-100153,2024-07-24,Customer-130,304,strip,0.211,428.69,362.82,14,ASTM_A240,3617.95,pending
Q-100154,2024-07-25,Customer-211,304,sheet,0.3163,58.76,243.91,21,EN_10204_3.1,1661.04,lost
Q-100155,2024-07-26,Customer-163,316L,sheet,0.01,514.33,220.52,10,EN_10204_3.1,1956.11,lost
Q-100156,2024-07-27,Customer-46,17-7PH,strip,0.369,35.45,671.41,35,EN_10204_3.1,6909.51,pending
Q-100157,2024-07-28,Customer-120,17-7PH,sheet,0.2644,677.62,216.54,28,EN_10204_3.1,2268.51,lost
Q-100158,2024-07-29,Customer-219,17-7PH,sheet,0.0634,385.73,156.49,21,EN_10204_3.1,1166.21,won
Q-100159,2024-07-30,Customer-63,316L,sheet,0.2233,245.01,206.66,35,EN_10204_3.1,1862.63,lost
Q-100160,2024-07-31,Customer-8,17-7PH,sheet,0.375,366.97,265.57,21,EN_10204_3.1,2580.13,lost
Q-100161,2024-08-01,Customer-55,304,sheet,0.3637,492.9,45.12,21,EN_10204_3.1,313.33,lost
Q-100162,2024-08-02,Customer-226,304,strip,0.1618,1136.42,263.46,14,EN_10204_3.1,2112.41,pending
Q-100163,2024-08-03,Customer-133,17-7PH,sheet,0.4628,49.96,113.71,28,AMS5528,1513.49,won
Q-100164,2024-08-04,Customer-105,316L,foil,0.3536,671.03,189.79,21,RoHS,1451.69,lost
Q-100165,2024-08-05,Customer-166,17-7PH,strip,0.1804,230.68,234.92,10,EN_10204_3.1,2508.37,pending
Q-100166,2024-08-06,Customer-24,304,strip,0.2935,1186.7,371.36,21,ASTM_A240,5367.17,lost
Q-100167,2024-08-07,Customer-63,316L,sheet,0.0649,122.57,80.16,14,RoHS,504.63,lost
Q-100168,2024-08-08,Customer-142,17-7PH,sheet,0.0123,517.28,269.26,14,EN_10204_3.1,3761.25,pending
Q-100169,2024-08-09,Customer-91,304,strip,0.3709,993.63,90.09,21,EN_10204_3.1,990.06,pending
Q-100170,2024-08-10,Customer-65,304,strip,0.01,503.11,348.56,10,EN_10204_3.1,3330.83,won
Q-100171,2024-08-11,Customer-81,316L,strip,0.1855,921.05,251.29,10,ASTM_A240,3411.71,won
Q-100172,2024-08-12,Customer-56,17-7PH,strip,0.1954,963.83,396.67,10,AMS5528,3970.0,pending
Q-100173,2024-08-13,Customer-26,304,strip,0.2132,844.64,614.53,10,EN_10204_3.1,4853.78,won
Q-100174,2024-08-14,Customer-46,304,sheet,0.1724,1181.59,245.31,14,EN_10204_3.1,3403.74,lost
Q-100175,2024-08-15,Customer-33,316L,strip,0.3727,990.65,429.15,35,RoHS,5613.33,lost
Q-100176,2024-08-16,Customer-75,316L,foil,0.1995,498.19,140.36,14,RoHS,1712.1,pending
Q-100177,2024-08-17,Customer-27,316L,strip,0.0636,883.98,129.12,14,EN_10204_3.1,1431.24,won
Q-100178,2024-08-18,Customer-123,17-7PH,sheet,0.2765,1099.01,121.24,14,EN_10204_3.1,1122.74,lost
Q-100179,2024-08-19,Customer-65,304,sheet,0.4182,437.57,172.22,21,ASTM_A240,1242.51,lost
Q-100180,2024-08-20,Customer-126,316L,foil,0.1666,100.53,241.85,21,EN_10204_3.1,1979.52,won
Q-100181,2024-08-21,Customer-39,17-7PH,strip,0.0674,370.6,495.11,21,AMS5528,7094.26,pending
Q-100182,2024-08-22,Customer-31,304,sheet,0.1823,179.3,302.45,10,ASTM_A240,2422.7,pending
Q-100183,2024-08-23,Customer-116,304,sheet,0.2218,1013.0,105.72,10,EN_10204_3.1,1069.52,lost
Q-100184,2024-08-24,Customer-146,304,strip,0.3481,929.68,80.34,35,EN_10204_3.1,699.18,pending
Q-100185,2024-08-25,Customer-26,316L,strip,0.01,851.81,118.21,14,RoHS,1155.5,won
Q-100186,2024-08-26,Customer-170,17-7PH,strip,0.1108,1155.28,399.99,10,EN_10204_3.1,5734.71,won
Q-100187,2024-08-27,Customer-142,316L,foil,0.1661,659.44,100.32,21,ASTM_A240,1234.94,won
Q-100188,2024-08-28,Customer-116,316L,foil,0.3621,836.89,309.78,10,EN_10204_3.1,4306.39,pending
Q-100189,2024-08-29,Customer-9,17-7PH,sheet,0.3543,80.88,499.15,14,EN_10204_3.1,2928.35,won
Q-100190,2024-08-30,Customer-19,304,strip,0.2312,233.08,286.51,35,EN_10204_3.1,2836.69,pending
Q-100191,2024-08-31,Customer-151,316L,sheet,0.1458,882.61,142.63,21,RoHS,2010.6,pending
Q-100192,2024-09-01,Customer-140,316L,sheet,0.1879,1016.57,435.91,14,ASTM_A240,4515.46,won
Q-100193,2024-09-02,Customer-212,17-7PH,strip,0.3946,450.34,497.06,28,EN_10204_3.1,3291.18,won
Q-100194,2024-09-03,Customer-203,316L,foil,0.1282,421.05,252.97,28,ASTM_A240,2738.07,lost
Q-100195,2024-09-04,Customer-32,17-7PH,sheet,0.4083,800.75,245.98,35,EN_10204_3.1,2784.69,lost
Q-100196,2024-09-05,Customer-70,17-7PH,sheet,0.3334,294.89,259.88,21,EN_10204_3.1,3532.3,pending
Q-100197,2024-09-06,Customer-21,17-7PH,sheet,0.2071,962.56,339.69,28,EN_10204_3.1,2034.74,pending
Q-100198,2024-09-07,Customer-83,316L,sheet,0.1024,340.59,1052.18,10,RoHS,13304.8,pending
Q-100199,2024-09-08,Customer-59,304,sheet,0.01,890.35,80.71,10,ASTM_A240,526.85,pending
Q-100200,2024-09-09,Customer-148,17-7PH,strip,0.0622,369.64,98.82,35,EN_10204_3.1,582.21,won
Q-100201,2024-09-10,Customer-167,316L,sheet,0.0189,821.98,69.39,28,RoHS,998.9,lost
Q-100202,2024-09-11,Customer-163,304,sheet,0.3203,714.49,150.04,21,EN_10204_3.1,2086.18,lost
Q-100203,2024-09-12,Customer-105,316L,sheet,0.1011,1008.63,202.45,35,EN_10204_3.1,2677.38,lost
Q-100204,2024-09-13,Customer-85,304,sheet,0.1844,1149.58,172.51,35,ASTM_A240,1041.63,lost
Q-100205,2024-09-14,Customer-170,17-7PH,sheet,0.024,914.72,176.97,10,EN_10204_3.1,1226.6,lost
Q-100206,2024-09-15,Customer-23,17-7PH,strip,0.2949,284.1,158.96,10,EN_10204_3.1,1750.86,lost
Q-100207,2024-09-16,Customer-198,304,strip,0.2247,1055.4,133.74,21,ASTM_A240,1075.11,lost
Q-100208,2024-09-17,Customer-106,17-7PH,strip,0.1954,1025.59,154.04,14,EN_10204_3.1,2006.93,won
Q-100209,2024-09-18,Customer-160,316L,strip,0.5015,122.64,328.69,28,EN_10204_3.1,2947.07,lost
Q-100210,2024-09-19,Customer-53,17-7PH,sheet,0.0574,605.13,376.33,35,AMS5528,2840.41,lost
Q-100211,2024-09-20,Customer-113,17-7PH,strip,0.2336,1024.42,162.3,35,EN_10204_3.1,1618.02,pending
Q-100212,2024-09-21,Customer-162,304,sheet,0.2515,430.41,456.4,14,ASTM_A240,4818.32,pending
Q-100213,2024-09-22,Customer-80,316L,strip,0.2957,635.09,283.06,28,ASTM_A240,3795.91,pending
Q-100214,2024-09-23,Customer-24,316L,strip,0.3073,1007.68,282.41,10,EN_10204_3.1,3996.1,won
Q-100215,2024-09-24,Customer-166,316L,sheet,0.1056,243.28,267.92,35,ASTM_A240,3668.37,won
Q-100216,2024-09-25,Customer-107,304,strip,0.222,415.44,200.28,14,EN_10204_3.1,2625.12,lost
Q-100217,2024-09-26,Customer-142,304,sheet,0.3918,27.54,225.26,35,EN_10204_3.1,2531.32,won
Q-100218,2024-09-27,Customer-222,304,sheet,0.2135,326.57,224.7,28,ASTM_A240,1254.83,won
Q-100219,2024-09-28,Customer-240,304,strip,0.2285,354.34,193.89,14,EN_10204_3.1,1845.78,pending
Q-100220,2024-09-29,Customer-186,304,sheet,0.3661,231.81,179.35,35,EN_10204_3.1,1157.38,lost
Q-100221,2024-09-30,Customer-115,17-7PH,sheet,0.2613,100.05,246.0,21,AMS5528,1733.63,pending
Q-100222,2024-10-01,Customer-142,304,strip,0.3465,578.82,347.63,14,EN_10204_3.1,2153.46,pending
Q-100223,2024-10-02,Customer-223,304,strip,0.4866,784.14,155.72,28,EN_10204_3.1,1954.6,won
Q-100224,2024-10-03,Customer-60,17-7PH,strip,0.01,929.08,204.67,14,EN_10204_3.1,1127.62,lost
Q-100225,2024-10-04,Customer-122,316L,sheet,0.0163,1134.28,206.89,21,RoHS,2006.43,pending
Q-100226,2024-10-05,Customer-127,304,strip,0.1247,838.55,288.3,28,ASTM_A240,3837.74,won
Q-100227,2024-10-06,Customer-85,316L,strip,0.3097,174.98,143.44,21,RoHS,2057.41,won
Q-100228,2024-10-07,Customer-4,304,sheet,0.028,1133.47,193.75,35,EN_10204_3.1,2216.13,pending
Q-100229,2024-10-08,Customer-40,316L,sheet,0.0962,1181.09,88.65,10,RoHS,752.0,won
Q-100230,2024-10-09,Customer-160,304,strip,0.329,256.42,389.67,10,EN_10204_3.1,4504.78,pending
Q-100231,2024-10-10,Customer-219,304,sheet,0.1486,578.39,391.62,28,EN_10204_3.1,2829.63,pending
Q-100232,2024-10-11,Customer-161,17-7PH,sheet,0.2685,929.69,271.95,14,EN_10204_3.1,3420.52,pending
Q-100233,2024-10-12,Customer-61,304,sheet,0.2485,58.38,125.63,28,ASTM_A240,1821.43,pending
Q-100234,2024-10-13,Customer-192,17-7PH,sheet,0.01,21.45,200.94,10,AMS5528,2240.11,won
Q-100235,2024-10-14,Customer-114,304,sheet,0.01,286.14,275.7,28,ASTM_A240,1680.97,won
Q-100236,2024-10-15,Customer-12,17-7PH,sheet,0.2847,961.12,85.21,21,AMS5528,1248.76,lost
Q-100237,2024-10-16,Customer-96,316L,sheet,0.0233,822.94,206.15,14,EN_10204_3.1,2053.96,lost
Q-100238,2024-10-17,Customer-106,316L,foil,0.3141,840.08,85.6,10,RoHS,1229.15,pending
Q-100239,2024-10-18,Customer-45,17-7PH,strip,0.2704,904.01,258.47,10,AMS5528,2003.44,won
Q-100240,2024-10-19,Customer-128,17-7PH,sheet,0.1966,848.91,935.63,14,AMS5528,11896.47,pending
Q-100241,2024-10-20,Customer-164,316L,foil,0.2137,117.36,409.07,35,EN_10204_3.1,2548.82,lost
